Week,Condition,Treatment,SampleNumber,LipidPerox
Wk_0,Drought,Nonfunctional Isolates,2,46.102
Wk_0,Drought,Control Mock,27,45.457
Wk_0,Well-watered,Nonfunctional Isolates,9,45.268
Wk_0,Drought,Control,16,35.282
Wk_0,Well-watered,Phosphorus Isolates,64,81.301
Wk_0,Drought,Drought Isolates,1,44.163
Wk_0,Well-watered,Drought Isolates,25,44.383
Wk_0,Drought,Nonfunctional Isolates,46,41.015
Wk_0,Well-watered,Control,75,43.182
Wk_0,Well-watered,Control Mock,24,49.6
Wk_0,Well-watered,All Isolates,55,41.737
Wk_0,Well-watered,Control,36,53.763
Wk_0,Drought,Control,35,50.988
Wk_0,Drought,Control Mock,72,59.544
Wk_0,Well-watered,Phosphorus Isolates,19,57.49
Wk_0,Well-watered,Drought Isolates,50,40.453
Wk_0,Well-watered,Nonfunctional Isolates,51,41.227
Wk_0,Drought,Drought Isolates,21,44.294
Wk_0,Well-watered,Phosphorus Isolates,42,32.541
Wk_0,Drought,All Isolates,29,58.838
Wk_0,Well-watered,All Isolates,47,42.522
Wk_0,Drought,Phosphorus Isolates,11,52.923
Wk_0,Drought,Control,38,41.92
Wk_0,Drought,All Isolates,41,38.214
Wk_0,Well-watered,Control Mock,7,41.291
Wk_0,Drought,Drought Isolates,10,49.858
Wk_0,Well-watered,All Isolates,68,50.941
Wk_0,Drought,All Isolates,43,42.003
Wk_0,Drought,Drought Isolates,57,48.708
Wk_0,Drought,Phosphorus Isolates,34,45.473
Wk_0,Drought,Control Mock,6,42.204
Wk_0,Well-watered,Drought Isolates,58,36.351
Wk_0,Drought,Phosphorus Isolates,13,45.027
Wk_0,Well-watered,Control,71,44.758
Wk_0,Well-watered,Nonfunctional Isolates,49,50.672
Wk_2,Well-watered,Control Mock,7,43.267
Wk_2,Drought,Control Mock,80,41.795
Wk_2,Well-watered,Control Mock,63,53.832
Wk_2,Well-watered,All Isolates,37,45.433
Wk_2,Well-watered,Control,78,50.507
Wk_2,Well-watered,Nonfunctional Isolates,59,44.248
Wk_2,Drought,Nonfunctional Isolates,17,46.714
Wk_2,Well-watered,Control,77,43.259
Wk_2,Well-watered,Nonfunctional Isolates,76,45.086
Wk_2,Well-watered,Drought Isolates,5,51.326
Wk_2,Drought,All Isolates,73,32.706
Wk_2,Well-watered,Control,75,39.568
Wk_2,Drought,Phosphorus Isolates,4,47.797
Wk_2,Drought,Control,39,40.899
Wk_2,Well-watered,Nonfunctional Isolates,48,39.838
Wk_2,Drought,Phosphorus Isolates,14,39.544
Wk_2,Drought,Nonfunctional Isolates,32,46.465
Wk_2,Drought,Nonfunctional Isolates,34,34.8
Wk_2,Well-watered,Control Mock,20,36.172
Wk_2,Drought,All Isolates,28,46.275
Wk_2,Well-watered,Drought Isolates,31,39.255
Wk_2,Well-watered,Drought Isolates,25,41.681
Wk_2,Drought,Control Mock,80,43.551
Wk_2,Drought,Drought Isolates,57,39.883
Wk_2,Drought,Nonfunctional Isolates,33,41.781
Wk_2,Drought,Control,35,43.753
Wk_2,Drought,Drought Isolates,1,48.427
Wk_2,Drought,Drought Isolates,70,47.736
Wk_2,Drought,Control Mock,8,30.209
Wk_2,Well-watered,Phosphorus Isolates,67,32.614
Wk_2,Well-watered,Phosphorus Isolates,54,33.868
Wk_2,Drought,Control,79,53.402
Wk_2,Well-watered,All Isolates,62,43.649
Wk_2,Well-watered,Phosphorus Isolates,19,32.005
Wk_2,Drought,All Isolates,12,48.4
Wk_4,Well-watered,All Isolates,30,78.335
Wk_4,Drought,Nonfunctional Isolates,52,73.496
Wk_4,Well-watered,Control Mock,22,62.224
Wk_4,Drought,Nonfunctional Isolates,3,85.227
Wk_4,Drought,Control Mock,72,68.426
Wk_4,Drought,All Isolates,60,58.097
Wk_4,Drought,Control,38,66.054
Wk_4,Well-watered,Control,77,68.889
Wk_4,Well-watered,Nonfunctional Isolates,53,57.582
Wk_4,Well-watered,Control Mock,63,53.053
Wk_4,Drought,Control Mock,27,74.663
Wk_4,Well-watered,All Isolates,40,61.183
Wk_4,Drought,Control Mock,6,73.227
