Week,Condition,Treatment,SampleNumber,MalicAverage
Wk_0,Drought,Null Isolates,56,640.7
Wk_0,Well-watered,Drought Isolates,58,594.4
Wk_0,Well-watered,Control,75,481.8
Wk_0,Drought,All Isolates,41,518.3
Wk_0,Drought,Drought Isolates,21,453.7
Wk_0,Drought,Drought Isolates,1,547.6
Wk_0,Well-watered,Null Isolates,49,451.5
Wk_0,Drought,Control Mock,6,670.8
Wk_0,Drought,Phosphorus Isolates,13,626.2
Wk_0,Drought,Phosphorus Isolates,34,579.7
Wk_0,Drought,Control Mock,27,527.9
Wk_0,Well-watered,All Isolates,55,519.8
Wk_0,Well-watered,Null Isolates,9,639.7
Wk_0,Well-watered,Phosphorus Isolates,42,701.0
Wk_0,Drought,Control Mock,72,520.6
Wk_0,Well-watered,All Isolates,68,555.6
Wk_0,Drought,Control,35,566.4
Wk_0,Well-watered,All Isolates,47,516.7
Wk_0,Well-watered,Phosphorus Isolates,19,na
Wk_0,Drought,All Isolates,43,na
Wk_0,Well-watered,Control,71,na
Wk_0,Well-watered,Control,36,610.0
Wk_0,Drought,Null Isolates,46,605.8
Wk_0,Drought,All Isolates,29,635.8
Wk_0,Well-watered,Drought Isolates,50,513.7
Wk_0,Drought,Null Isolates,2,519.0
Wk_0,Well-watered,Phosphorus Isolates,64,583.2
Wk_0,Drought,Phosphorus Isolates,11,523.3
Wk_0,Well-watered,Drought,25,591.6
Wk_0,Well-watered,Control Mock,7,527.8
Wk_0,Drought,Drought Isolates,10,593.5
Wk_0,Well-watered,Null Isolates,51,581.0
Wk_0,Drought,Control,38,531.5
Wk_0,Well-watered,Control Mock,24,555.6
Wk_0,Drought,Control,16,608.5
Wk_2,Well-watered,Control,75,614.0
Wk_2,Well-watered,Drought Isolates,5,474.3
Wk_2,Drought,Drought Isolates,1,456.0
Wk_2,Well-watered,Control,77,622.9
Wk_2,Well-watered,Control,78,613.7
Wk_2,Drought,All Isolates,28,353.0
Wk_2,Well-watered,Nonfunctional Isolates,76,771.5
Wk_2,Drought,Nonfunctional Isolates,17,252.1
Wk_2,Well-watered,Control Mock,7,747.5
Wk_2,Well-watered,Phosphorus Isolates,67,754.0
Wk_2,Well-watered,Control Mock,20,754.3
Wk_2,Drought,Control,39,292.0
Wk_2,Well-watered,All Isolates,37,577.6
Wk_2,Drought,Nonfunctional Isolates,33,368.5
Wk_2,Drought,Nonfunctional Isolates,32,274.4
Wk_2,Drought,Drought Isolates,70,535.7
Wk_2,Well-watered,Phosphorus Isolates,19,666.7
Wk_2,Drought,Phosphorus Isolates,34,422.5
Wk_2,Drought,All Isolates,12,478.5
