Week,Condition,Treatment,SampleNumber,Osmolality
Wk_4,Drought,Nonfunctional Isolates,23,442
Wk_4,Well-watered,Drought Isolates,58,635
Wk_4,Well-watered,Phosphorus Isolates,67,640
Wk_4,Well-watered,Phosphorus Isolates,64,630
Wk_4,Well-watered,Phosphorus Isolates,54,586
Wk_4,Drought,Control,39,414
Wk_4,Well-watered,Drought Isolates,50,691
Wk_4,Drought,Phosphorus Isolates,14,414
Wk_4,Drought,Drought Isolates,21,558
Wk_4,Drought,Phosphorus Isolates,13,381
Wk_4,Drought,Phosphorus Isolates,34,310
Wk_4,Drought,All Isolates,60,389
Wk_4,Drought,Nonfunctional Isolates,52,362
Wk_4,Well-watered,All Isolates,30,566
Wk_4,Well-watered,Control Mock,22,548
Wk_4,Drought,Nonfunctional Isolates,3,395
Wk_4,Drought,Control,38,422
Wk_4,Well-watered,Nonfunctional Isolates,53,576
Wk_4,Well-watered,Control,77,537
Wk_4,Well-watered,All Isolates,40,670
Wk_4,Drought,Control Mock,72,449
Wk_4,Well-watered,Control Mock,63,692
Wk_4,Drought,Control Mock,6,289
Wk_4,Drought,All Isolates,69,434
Wk_4,Well-watered,Control,75,520
Wk_4,Well-watered,Nonfunctional Isolates,45,509
Wk_4,Drought,Control Mock,27,388
Wk_4,Drought,Control,35,348
Wk_4,Drought,All Isolates,74,392
Wk_4,Well-watered,Nonfunctional Isolates,65,506
Wk_4,Well-watered,All Isolates,15,558
Wk_8,Well-watered,Drought Isolates,58,517
WK_8,Drought,Control Mock,80,484
Wk_8,Drought,Control Mock,8,558
Wk_8,Well-watered,Phosphorus Isolates,54,644
Wk_8,Drought,Control,39,814
Wk_8,Drought,Phosphorus Isolates,11,581
Wk_8,Drought,Phosphorus Isolates,14,415
Wk_8,Drought,Phosphorus Isolates,4,507
Wk_8,Drought,Control Mock,6,574
Wk_8,Well-watered,Nonfunctional Isolates,65,650
Wk_8,Drought,Nonfunctional Isolates,2,605
Wk_8,Drought,Drought Isolates,57,493
Wk_8,Drought,Drought Isolates,70,503
Wk_8,Well-watered,Drought Isolates,5,382
Wk_8,Drought,Nonfunctional Isolates,33,441
Wk_8,Well-watered,Control Mock,20,533
Wk_8,Well-watered,Control,77,600
Wk_8,Well-watered,Control,78,576
Wk_8,Drought,Control,79,594
Wk_8,Well-watered,Nonfunctional Isolates,76,576
Wk_8,Well-watered,Nonfunctional Isolates,9,649
Wk_8,Well-watered,Control Mock,24,568
Wk_8,Drought,Nonfunctional Isolates,17,614
Wk_8,Well-watered,All Isolates,68,533
Wk_8,Well-watered,All Isolates,26,580
Wk_8,Well-watered,All Isolates,62,556
Wk_8,Drought,All Isolates,43,400
Wk_8,Drought,All Isolates,28,371
Wk_8,Drought,All Isolates,73,443
Wk_8,Well-watered,Phosphorus Isolates,64,588
Wk_8,Well-watered,Phosphorus Isolates,67,670
Wk_8,Well-watered,Phosphorus Isolates,54,604
Wk_8,Drought,Drought Isolates,57,453
Wk_8,Drought,Phosphorus Isolates,11,374
Wk_8,Well-watered,Drought Isolates,5,350
Wk_8,Well-watered,Drought Isolates,31,584
Wk_8,Well-watered,Nonfunctional Isolates,48,623
Wk_0,Well-watered,Nonfunctional Isolates,51,567
Wk_0,Well-watered,Nonfunctional Isolates,51,567
Wk_0,Drought,Control,16,558
Wk_0,Drought,All Isolates,43,553
Wk_0,Well-watered,Control,71,534
Wk_0,Well-watered,Control,36,652
Wk_0,Drought,All Isolates,29,540
Wk_0,Well-watered,Drought Isolates,50,572
Wk_0,Drought,Nonfunctional Isolates,2,495
Wk_0,Well-watered,Phosphorus Isolates,64,638
Wk_0,Drought,Control,38,663
Wk_0,Drought,Phosphorus Isolates,11,585
Wk_0,Well-watered,Drought Isolates,25,662
Wk_0,Well-watered,Control Mock,7,597
Wk_0,Drought,Drought Isolates,10,573
Wk_0,Well-watered,Control Mock,24,686
Wk_0,Drought,Nonfunctional Isolates,46,610
Wk_0,Well-watered,Phosphorus Isolates,19,577
Wk_0,Well-watered,Control,75,659
Wk_0,Well-watered,Drought Isolates,58,544
Wk_0,Drought,Nonfunctional Isolates,56,658
Wk_0,Drought,Drought Isolates,1,588
Wk_0,Well-watered,Nonfunctional Isolates,49,651
Wk_0,Well-watered,All Isolates,68,591
Wk_0,Well-watered,All Isolates,47,654
Wk_0,Well-watered,Phosphorus Isolates,42,677
Wk_0,Drought,Control Mock,72,565
Wk_0,Well-watered,All Isolates,55,611
Wk_0,Well-watered,Nonfunctional Isolates,9,666
Wk_0,Drought,Control,35,734
Wk_0,Drought,All Isolates,41,610
Wk_0,Drought,Drought Isolates,21,723
Wk_0,Drought,Control Mock,6,615
Wk_0,Drought,Phosphorus Isolates,13,664
Wk_0,Drought,Phosphorus Isolates,34,641
Wk_0,Drought,Control Mock,27,581
Wk_2,Drought,Control Mock,80,472
Wk_2,Well-watered,Drought Isolates,25,471
Wk_2,Drought,Phosphorus Isolates,4,513
Wk_2,Well-watered,Control Mock,20,624
Wk_2,Well-watered,All Isolates,26,544
Wk_2,Drought,All Isolates,12,492
Wk_2,Drought,Nonfunctional Isolates,17,369
Wk_2,Well-watered,Phosphorus Isolates,19,753
Wk_2,Well-watered,Drought Isolates,31,482
Wk_2,Well-watered,Control Mock,63,676
Wk_2,Well-watered,All Isolates,62,559
Wk_2,Drought,Control Mock,8,516
Wk_2,Well-watered,All Isolates,37,724
Wk_2,Drought,Drought Isolates,70,595
Wk_2,Well-watered,Control Mock,7,631
Wk_2,Well-watered,Nonfunctional Isolates,48,659
Wk_2,Well-watered,Control,77,636
Wk_2,Drought,Phosphorus Isolates,14,492
Wk_2,Well-watered,Nonfunctional Isolates,59,609
Wk_2,Drought,Drought Isolates,57,516
Wk_2,Drought,Nonfunctional Isolates,33,449
Wk_2,Well-watered,Control,78,635
Wk_2,Drought,Control,79,521
