Week,Condition,Treatment,SampleNumber,Proline
Wk_0,Well-watered,Phosphorus Isolates,19,16.655
Wk_0,Drought,All Isolates,29,21.381
Wk_0,Well-watered,Drought Isolates,50,17.274
Wk_0,Well-watered,Drought Isolates,25,15.4
Wk_0,Drought,Phosphorus Isolates,11,11.933
Wk_0,Drought,Control,16,18.613
Wk_0,Well-watered,Nonfunctional Isolates,51,14.616
Wk_0,Drought,All Isolates,41,19.498
Wk_0,Well-watered,All Isolates,47,13.104
Wk_0,Well-watered,Phosphorus Isolates,42,19.564
Wk_0,Drought,Drought Isolates,21,10.719
Wk_0,Drought,Nonfunctional Isolates,2,27.316
Wk_0,Well-watered,Phosphorus Isolates,64,10.098
Wk_0,Drought,Drought Isolates,1,23.02
Wk_0,Well-watered,Control Mock,24,17.804
Wk_0,Well-watered,Control,36,22.226
Wk_0,Drought,Control,35,19.942
Wk_0,Drought,Control,38,19.548
Wk_0,Well-watered,Control,75,11.159
Wk_0,Well-watered,All Isolates,55,23.642
Wk_0,Drought,Control Mock,27,12.808
Wk_0,Well-watered,Nonfunctional Isolates,9,15.016
Wk_0,Drought,Control Mock,72,12.551
Wk_0,Well-watered,Drought Isolates,58,14.065
Wk_0,Drought,Drought Isolates,10,15.338
Wk_0,Drought,Drought Isolates,57,20.463
Wk_0,Drought,Phosphorus Isolates,34,16.313
Wk_0,Drought,Nonfunctional Isolates,46,14.254
Wk_0,Well-watered,Nonfunctional Isolates,49,16.789
Wk_0,Drought,Control Mock,6,20.048
Wk_0,Drought,All Isolates,43,16.962
Wk_0,Drought,Phosphorus Isolates,13,22.089
Wk_0,Well-watered,Control Mock,7,18.025
Wk_0,Well-watered,Control,71,23.069
Wk_0,Well-watered,All Isolates,68,13.049
Wk_2,Drought,Phosphorus Isolates,4,18.099
Wk_2,Drought,Control,39,18.027
Wk_2,Well-watered,Drought Isolates,31,19.529
Wk_2,Drought,Nonfunctional Isolates,17,23.138
Wk_2,Drought,All Isolates,12,20.346
Wk_2,Drought,Drought Isolates,70,19.212
Wk_2,Drought,All Isolates,28,19.858
Wk_2,Drought,Control,35,20.834
Wk_2,Well-watered,Control Mock,20,17.466
Wk_2,Drought,All Isolates,73,19.789
Wk_2,Drought,Phosphorus Isolates,14,21.901
Wk_2,Well-watered,Control,77,18.966
Wk_2,Well-watered,All Isolates,62,24.631
Wk_2,Well-watered,All Isolates,37,29.146
Wk_2,Well-watered,Nonfunctional Isolates,48,17.618
Wk_2,Well-watered,Control Mock,63,15.566
Wk_2,Well-watered,Control,78,18.838
Wk_2,Well-watered,Control Mock,7,16.664
Wk_2,Well-watered,Phosphorus Isolates,67,17.950
